ingredients,date,location,price,tasting_notes
"toast (open faced) with tomato paste, white extra sharp cheddar cheese, oregano, black pepper, poached egg . BROILED, BITCHES",09/20/2012,FLUX FACTORY KITCHEN,communal sweat & tears,"THE POACHED EGG PIZZA-TOAST IS THE NEW REVOLUTION. watch out, world, this sandwich is about to take over.
SPICES ARE KEY FOR THE TRUE PIZZA OVEN-AT-HOME-EXPERIENCE"
BLT (unfortunately using some kind of Miracle Whip in place of the mayonnaise I was hoping for),09/20/2012,"Amazing Sandwich, Chiang Mai",95 baht,Awful. Shame-inducing. I later ate some fantastic Thai curry and felt very stupid for stopping at Amazing.
BBQ mock duck on a hoagie roll w/tater tots,09/21/2012,"Grumpy's on Washington Ave S, downtown Mpls",$7.95 plus extra for tots,"Fine to good? No surprise w/r/t sauce or toppings, but I won't complain about a bar that serves seitan dishes."
"Brie, carmelized onions, mango chutney, turkey on toasted multigrain",09/21/2012,"Di Bruno Brothers Market, Philadelphia",~$10,phenomenal
"Egg salad, wheat toast, arugala, salt, pepper",09/23/2012,B + B house,,"sandwich was good-yes, it might be better with dill, but eating it was lots and lots of fun."
"roasted turkey, swiss, lettuce, shitty tomatos on whole wheat. little bit of ranch too (not gonna lie to you)",09/24/2012,"fucking quizno's on my way home from school, NY thruway",too much it makes me sad,"i ate half in the car at 2pm. other half for dinner at 7, HOWEVER for the 2nd half I added half an avocado, ton of spicy mustard, nutritional yeast and a decent amount of pepper which made it much more tolerable. :( :)"
i just had a bologna and mustard on a fresh challah roll.,09/25/2012,home,,bliss with a fizzy lizzy raspberry lemon.
BLT on multigrain,09/25/2012,"Irving Farm Coffee, Millerton, NY",$5.50,A little heavy on the mayo. The multigrain bread was great though.
"mushroom, artichoke, provolone, pesto and special ""dirty sauce"" on dutch crunch",09/25/2012,"Ike's Laire, Oakland, CA",~$10,"amazing, dutch crunch is the best!"
"lightly battered/fried chicken breast, hot sauce, honey butter on buttermilk biscuit",09/27/2012,"pies & thighs, brooklyn",$6,PERFECTION. never met a chicken biscuit i didn't like from P & T. was with Jeila and we split a squash side salad (6$) and cheese grits (4$). so best.
"Tuna melt (tuna salad, swiss and tomato on ""dark bread"")",10/01/2012,"Communitea, Long Island City",$7.50,"I try and pretend like tuna melts aren't great, but they really are. That being said, I ate it on the waterfront and I kept thinking about how much better it would have been with a little hot sauce. "
"Honey mustard chicken salad on toasted wheat with lettuce, tomato, swiss, avocado",10/04/2012,"back in the kitchen, amenia ny",$6.25,I was reluctant to order this given the honey mustard (never a fan) but Cassie told me it was a subtle honey. Delicious. Chips and pickle on the side.
"Peppered salami, cheddar, mustard on whole wheat",10/07/2012,Home,$3.50?,"Pickles on the side, but too much flavor overlap between mustard and pickle for maximum pickle deliciousness; lesson learned"
"The ""R Burger"": The bread/bun was sort of the consistency of a pork bun but a little denser, a patty made of chicken and spices, lettuce, onion, some sweet (teriyaki?) sauce",10/08/2012,"R Burger, Bangkok",$2 with fries,"The bread was a little strange, but the patty was very well seasoned"
"Italian beef (incl pickled peppers, what appears to be meat juice or ""jus"")",10/14/2012,Pork Slope,$10,"Really, really delicious. Bread saturated in meat juice was a huge pro, in my book. Potato salad on the side"
"Breakfast bagelwich: veggie chix patty, fried egg, and sriracha on an everything bagel",10/16/2012,"Breakfast nook, my apartment, Mpls near Loring Park",,Guy in the apartment below me gets out of bed really early and plays his wake-up music way too loud
"Egg salad and smoked salmon on toasted wheat [?] with lettuce, tomato",10/20/2012,"Northbound Smokehouse brewpub, SE Mpls",$9.25,"Would have enjoyed more salmon, but then that'd be true no matter what. If you're gonna toast the bread then TOAST. IT."
Egg and cheese on a bialy,10/20/2012,"Peter Pan Donuts, Greenpoint",$2.83,I would eat this every day if I could.
"Serrano ham, fig spread, manchego, balsamic vinegar, arugula",10/21/2012,"Bierkraft, Park Slope",$11,"Pretty fucking good, although I always feel like something is missing from their suggested sandwich combos...."
"Goat cheese, spinach, tomoato, avocado, apple red onion, raspberry dijon vinaigrette",10/23/2012,Little Skips,$7,"They skimped on the goat cheese, but mmmmmm nonetheless"
"ciabatta roll, swiss cheese, two slices Canadian bacon, fried egg, strawberry preserves",10/25/2012,home,,"sort-of croque madame, strawberry preserves a really good idea"
"Croissant, fried egg, some kind of sharp cheese, tomato, avo., garlic aoli, ",11/02/2012,"Alice's Arbor, Bed-Stuy",$6.50,This sandwich was incredible. It was huge considering it was on a croissant...i think they may make their own pastries (it certainly tasted like it!). the flavors melded into a delicious buttery heaven...and it came with a pickle wedge which is essential.
"Everything bagel with 1 egg, swiss and hot sauce",11/03/2012,"Bagel Pub, Park Slope",$3.25,The swiss was 75 cents extra but well worth it
Grilled pork banh mi,11/03/2012,"Hanco's, Park Slope",$6.50,"This sandwich was delicious though a little expensive given my expectations for bahn mi prices. Also, Hanco's was featured on The American Life a while ago: http://ny.eater.com/archives/2010/07/hancoshenrys_banh_mi_war_makes_this_american_life.php"
"Turkey, avocado, gruyere and red onion on a roll",11/05/2012,Sam's house,,The gruyere was expensive but made the sandwich very delicious. Sam put much more turkey on his sandwich plus mayo and mustard and seemed happy with it.
Fava Bean spread with garlic(just a little!) and olive oil over homemade bread with sauteed bitter greens (like dandelion) - and sprinkle of parmeson - OPENFACED.,11/11/2012,"Mama's house, ATL, GA",free with patience,"This is solidly the most delicious thing anyone will ever eat. Fresh fava beans are essential.  They get shelled, boiled briefly, then shelled again, then mashed and cooked up with some finely chopped garlic and olive oil, and sauteed greens make the magic touch.  How often do you eat bitter food?????"
"Smoked Turkey, smoked gouda, lettuce, tomato, banana peppers (turkey and cheese is heated, but the bread is untoasted)",11/12/2012,City Sub in Park Slope,$8.00?,This sandwich was delicious and HUGE. Jeila and I split it which was a great solution.
"veg. turkey, tempeh bacon,  gouda, avocado, red onion, sundried tomatoes, sprouts, hot peppers, veganaise on rosemary garlic bread",11/14/2012,"General Store, Grand & Havemeyer (williamsburg)",$10,"It's sort of a subway-style customize your own sandwich experience with much better ingredients. They have these little laminated cards with all the ingredients on them and you check off all the ones you want. With 10 kinds of cheese, 5+ vegetarian protein options, and 12 or so kinds of bread there's a ton of variety for vegetarians which I really appreciate"
"garlic mashed yams, gravy, turkey, lettuce, and cranberry sauce on rosemary potato bread",11/23/2012,Breanne's,,Thanksgiving leftovers make the best sandwiches
"Mayo, homemade cranberry sauce, braising salad mix with mustard greens, avocado, chamembert, avocado, smashed sweet potato, generous amount of pepper, nutritional yeast on toasted sourdough",11/23/2012,home,,One of the best sandwiches I've made.
Pulled Pork Mac and Cheese,11/28/2012,reBar (Dumbo),$10,"A duo of expected phenomena left in a lunch lady's tray a bit too long. Mango slaw couldn't make this sure shot happen. Ketchup as a last resort, the tomato-y lubricant needed to get this overly dry pair wrapped in a roll down my hunger hole. At least they forgot to charge me for my beer. "
Cubano,12/04/2012,Tina's (56th & 5th),$7.45,Not delicious. A friend ordered the friend pork. It looked way more delicious
Chicken salad on raisin nut bread,12/06/2012,JFK,$9.00 (outrageous),This sandwich was very over priced. There wasn't even a piece of lettuce on it. But the raisin nut bread was a really good call.
"""Dads Couch"" = chicken cutlet, bacon, swiss, tomato, honey mustard, on a poppy bagel (untoasted because La Bagel Delight's bagels are fresh and warm, never toasted)",12/09/2012,"Originated at La Bagel Delight, 7th Ave, Park Slope
Renny's laundromat makes a good one, too, on a roll.",,Enjoy this sandwich on dad's couch on a Sunday or at the start of a long bus ride. The food coma will knock you out for hours.
"monte cristo - open face turkey, ham, swiss cheese, ""maple"" syrup on french toast",01/01/2011,kellog's diner (whatever it was like 2am and i had just finished working all night and i got the mote cristo craving),mad loot,"this is one of my fav sammies, but kellog's blew it, big time. the turkey and ham were both so dry that almost no amount of syrup or swiss cheese goodness could resuscitate it."
"peanut butter, banana and cinnamon on 12-grain",01/01/2011,(1987 - present) where HAVEN'T i eaten this classic?,priceless,honey is a nice optional addition
"Pam PBJ- my old standard. Home Pride Butter Top Whole Wheat bread, Chunky JIF, Welch's Grape Jam",01/01/2011,"(date: all time) Morris Park Lane, East Hampton",,These are my brand preferences for my childhood PBJ *peanut butta jelly time!*
"Egg salamich on Rosemary Focaccia with tomatoes (diced), pickles (diced), salt n peppa ",01/01/2011,"(date: Fall 2012) Eat it at the print shop at Columbia, purchased at Milano Market, 2892 Broadway, NYC",$6.49,"Dicing the tomatoes and pickles has these flavors meet the egg salad with even distribution. My most frustrating sandwich experiences are tomato slices slipping off of the sandwich or having too much filling and not enough bread. With the diced fillings, the square, stiff nature of the bread, and the perfect egg salad consistency, this high-piled egg salamich is just right. It's a simple taste, not too many flavors, but if you're an egg junkie, you'll appreciate this one.
I recommend this deli if you are into the mayo-based salamiches. They have many options. I hadn't willingly eaten mayonnaise in 20 years when this egg salad called out to me. It was amazing, and I've had at least 2 of these salamiches per week for the last 3 months. "
"Roasted turkey, brie, cranberry mayo, lettuce, tomato, onion on fresh ciabatta",01/16/2013,"Sharon Market, Sharon CT",$7.50,"Incredible. This is not a regular menu item, I combined various ingredients from two different sandwiches. I bought this to share with Anders but could have easily eaten the whole thing myself. Wish it came with chips and a pickle to round out my ideal sandwich scenario."
"Roasted turkey, arugula, roasted tomato, avocado, lemon oil mayo (which sounds redundant but I can't remember) on toasted ciabatta",01/18/2013,back in the kitchen,$7.25,"A variation on the above entry. Gotta say the sharon market sandwich is superior. w/ chips, pickle, iced macchiato. "
Chicken parm,01/20/2013,Zito's in Park Slope,$10.50,Overpriced but delicious
"Spicy roast beef, mushrooms, onions",01/20/2013,Zito's in Park Slope,$11,"Also, overpriced but delicious"
Peanut butter and apple,01/28/2013,Home,,"just the other day, diane was eating an open faced peanut butter and apple. what, you might say, is remarkable about that?? well, the apple slices were piled just a little high and the were slipping all over the place requiring during eating prop ups with a spare finger. a calamity of sandwich engineering."
"Spare ribs, beets, some sort of cheese",01/30/2013,"No 7 Sub, Manhattan",$11,A little meaty for me but definitely a good sandwich
BLT,01/31/2013,Pork Slope,$11,The bacon was really delicious. Sort of sweet and smokey.
Brisket Sandwich,01/31/2013,Pork Slope,$13,Great use of pickles.
"""organic"" roasted turkey breast, avocado, mayo mixed with fresh lemon juice, nutritional yeast, salt, pepper on berkshire mountain bakery's cheddar jalepeno ciabatta roll",02/04/2013,The New Flame,less than $5 but not exactly sure,"Would have been great to add tomatoes and leafy greens, but tomatoes are out of season and I made a kale side salad instead. Turkey and bread from food co-op in great barrington. The ciabatta is EXCELLENT. I sent Shannon a photo."
Cochon Muffaletta,02/06/2013,"Cochon Butcher, New Orleans",$12,"Lightly toasted sesame seed bun was fluffy inside in contrast to ""classic"" muffaletta construction making for a lighter sandwich. Not so much a fan of olive tapenade as I'm not an olive fan, but I balanced it out with someÄ™spicy French mustard. Peppery pastrami and smoky ham elevated by house-made sweet pickles and salty potato chips rather than merely being balanced by them. Can a sandwich experience be symphonic? Well, it was. Perfect for sharing, too."
"Turkey, half avocado, asiago, spicy mustard, a ton of extra garlic-y kale pesto, nutritional yeast, big flakey sea salt on jalepeno ciabatta",02/09/2013,The New Flame,,How did I not think to add kale pesto before?
"Sprouted wheat bread, avocado, babaganoush, olive tapanade, fried egg, mixed greens",02/16/2013,My kitchen,,So.delicious.
"Chicken, goat cheese, sundried tomato, arugula, Russian dressing on French baguette",02/24/2013,"La Piccola Cucina, Upper West side",$7.95,"Immediately after finishing, I saved the delivery number on my speed dial under ""Sandwich"""
Yam sandwich,03/18/2013,Naum Pang,$8,"The new Naum Pang location opened near my office and I have been eating there VERY frequently. I haven't been disspointed yet, but this yam sandwich was especially good."
Pastrami,03/24/2013,Dave's House of Brisket,$10,"We also had the brisket sandwich, which we agree was good but inferior to the pastrami. Also the sandwiches here come in S, M and L. The bread was extremely fluffy."
Mongolian tofu and white bean salad,03/25/2013,"No. 7 Sub, Greenpoint",$10,A very flavorful and delicious sandwich. The white bean salad adds great crispness. Maybe too much mayo. Dana had the spare rib sandwich
"Peppered salami, horseradish goat cheese, arugula and dijon mustard",04/02/2013,Home,,This sandwich was a little too flavorful. I need to tone it down by adding some more nuetral ingredients.
"Pesto, Manchego cheese, butter lettuce, tomatoes and black olives on toasted wheat",04/08/2013,Home,free.99,"super refreshing, sharp flavors. "
Honey Glazed Ham on a buttermilk buiscuit with spicy mustard and maple bacon,03/29/2013,Home,free.99,JESUS. I've been missing out on the pork-life. Although this sandich was delicious beyond what I could have imaged from the forbidden meat.
BLT with fried egg in toast,05/07/2013,Home,,delicious
Tomato and brie on baguette,05/22/2013,"Irving Farm Coffee, Grand Central Station",$3.50,Simple but delicious
"Egg, bacon, olives, steak, ham, mayo, tomato, mozzarella, lettuce, red pepper",05/22/2013,Tabare,$16,This sandwich was huge! Delicious but maybe over the top
"Pepper jelly, honey goat cheese, pepper turkey, arugula on Rye",06/10/2013,home,n/a,Pepper jelly is THE BEST. I was a little worried about the Rye but it worked surprisingly well
"BRELT: Standard BLT with avocado add-on (you can ""BRE"" anything at back in the kitchen aka add avocado)",08/08/2013,back in the kitchen,$6.75,"I substituted horseradish mayo for regular mayo, but honestly did not notice a difference. On toasted white bread (they were out of wheat). Roasted tomatoes are always a nice surprise. I tend to forget this is a standard feature. Kieran is not as generous with the avocado as Tory is in the morning (order the BRE breakfast sandwich)"
"Thursday special: flank steak, cheddar, avocado, carmelized onions and horseradish mayo on a roll",08/08/2013,back in the kitchen,$8.75,There was a lot of steak on this sandwich! Maybe too much. But the combination of flavors was great.
"French bread, sauteed onions, brie, arugula, and maybe a house sauce (I can't remember)",08/13/2013,Couleur Cafe,"I don't remember, but it was under $10","I wish the onions had been a little more caramelized, but I'm a sucker for a sauteed onion and this was pretty delicious.  The sandwhich was a little small, but it came with a side salad.  Also the cafe had a green tea ginger chai drink that was amazing.  I had it iced and with almond milk."
Leberk&auml;s-semmel,08/19/2013,"Rewe deli counter, M&uuml;nchen. I could've just said Munich, but this is a food document",$1.70,"Leberk&auml;s means ""liver cheese,"" but is in fact neither. Think thickly sliced bologna, a la Spam serving size, in a semmel (bun). A dollop of spicy Bavarian mustard that flares your nostrils and makes your eyes water rounds out a cheap treat."
"toasted 7 grain and seed bread, sun-dried tomato hummus, extra sharp white cheddar cheese, avocado, and sriracha",08/20/2013,home,free if I pretend that I didn't have to pay for groceries,Great.  The hummus was very effective at keeping the avocadoes in the sandwich.  I hate when sandwiches fall apart and this one stayed together very well.
"Scrambled egg, white cheddar, chulula on english muffin",08/26/2013,home,n/a,A simple and easy sandwich. The english muffin made it extra good.
"cheese & steak sandwich (non-traditional) cheddar, sauteed mushroom & onion, thinnly sliced steak (not sure the cut), pea shoots, bbq sauce, added siracha to second half (excellent move) on cheddar ciabatta ",08/30/2013,jeff & bowie's,n/a,i was skeptical at first but willing to give it a try. jeff and bowie never do me wrong. it was amazing and shared with most excellent company.
"fried egg (in bacon grease), 1/2 avocado, homemade arugala/kale pesto, nutritional yeast, maldon sea salt, arugala, tomato on toasted sourdough",08/31/2013,my house,n/a,avocado could have been more ripe. i'm obsessed with maldon salt. also made a blueberry / mango / banana smoothie.
"tzadziki on toast with spicy sopressata, fried eggs, parmeggian shavings and shiso",09/17/2013,home,n/a,
"andouille sausage, sauteed red pepper and tons of garlic, red onion, avocado, pink lady apple slices, maldon sea salt on toasted ciabatta roll",09/25/2013,home,n/a,arugula side salad. the sandwiches were near the size of our faces. they were very good.
"Turkey Sandwich with lettuce, tomato, spicy mayo based sauce",01/01/2011,Torrisi Italian Specialities / Parm,$9,"Best turkey sandwich I have ever had.  The turkey is marinated in honey, garlic and herbs and then slowly roasted."
Grilled hamburger on toast with spread cheese tomato and onion,10/26/2013,Louie's Lunch New Haven (birth place of the hamburger),$5,
"Ham, gruyere, egg, tomato on some sort of fancy bun",11/01/2013,Olive's in Soho,$7.50,"I was skeptical of the price ($7.50 for a breakfast sammie!), but I was impressed. Very tasty combo. Lots of salt. The bun really sealed the deal."
"Kippered salmon, house-made cream cheese and apple horseradish, on rye",01/15/2014,"Ben's in Tiberias, Israel",&#8362;23.00 (about $6.50),"Perfect condiment-to-protein ratio, horseradish balanced perfectly with smoked salmon, good use of surface area. These Jews got game."
"Camenbert, pepper turkey, lingon berry spread, mayo, arugula on whole wheat",02/11/2014,home,,"I wish I had melted the cheese before assembling the sandwich. My friend Gabe recently said of camenbert: ""Don't be afraid to melt it"""
"Egg, cheese (can't remember what type), sausage, onions, peppers on a fancy roll",02/19/2014,Olive's in Soho,$7.50,The best part of this sandwich was that the onion and pepper was really finely chopped. It meant that the sandwich held together well and the onion and pepper flavors were evenly dispersed.
"Cheese, pickled jalapenos, breaded chicken, lettuce, tomato",03/08/2014,4th ave and 16th st in South Slope,$6,Kind of tasted like a jalapeno popper which I loved
"Bacon, hummus, american cheese. ""The Hobo's Delight""",03/13/2014,My house in Pittsburgh (New Academy Press),$2,One slice of bread cut in half. Hummus on both sides of the bread. Cold leftover bacon from yesterday. Nothing special but an ok breakfast sandwish if you don't feel like cooking an egg.
Pierogi and hotdog sandwich,03/25/2014,My house,$3,"All the food items I had at the time combine into one sandwich. Heated hot dog and pre made pierogi in skillet all at once. ""Butterfly"" hot dogs for added bread coverage. Added pepperjack cheese to made it extra weird. Not too bad. "
"Pepper turkey, pepper jack, pesto, arugula on flat bread",05/06/2014,My house,,Buying flatbread at the grocery store was a big mistake. Not even sure this would qualify as a sandwich. Definitely mediocre overall.
"Flat bread day two: pepper turkey, pepper jack, mayo, hot sauce and arugula on flat bread",05/07/2014,My house,,Not better than yesterday's sandwich. Flat bread is still getting me down. Though my folding technique did improve.
"Meatloaf, ketchup, mayo, lettuce and tomato",05/21/2014,McEnroe's,$7.99,This sandwich could use a little more pizzazz. Also did not hold together very well at all. Maybe the result of too much tomato?
"Apple-fig chutney, kale, lemon garlic aioli, and mozzarella cheese, grilled on mutigrain",06/03/2014,"Ula Cafe (Jamaica Plain, Boston)",$9,This was a really good sandwich that confirmed my hypothesis that all sandwiches are better grilled or toasted. The fig was a little too sweet in this context though. Also mozzarella is hard to bite so I ended up slurping whole pieces in and having a pretty uneven flavor experience.
"Everything bagel, untoasted, red onions, orange peppers, spicy mustard, pavelka farm ham (local Iowa City hamerie-sign up for their email), mozz, some sort of heirloom tomato (little yellow plums)",08/25/2014,printmaking discussion table,approx $3.47 bagel was free,I tossed it to a friend to demonstrate its girth to.....
"Turkey, green apple slices, cabot sharp white chedd, broccoli sprouts, spicy mustard on 5"" roll",09/06/2014,"off-leash dog park, iowa city, ia","free, made by anna","Side of trader joe's white chedd booty, cucumber and tomato salad. What can be better than eating a sandwich surrounded by dogs and shared with a friend "
Pate I have been obsessed with pate with truffle lately. Goat cheese cause it's da bomb and grapes cause their in season on Sardinian parchment crackers. I know it's not on bread but cracker sandwiches make excellent afternoon snacks!,01/01/2011,Crib,,Twas amazing fixed my late craving and then some.
"Leftover rib meat with kimchi, butter bread pickles, onions and a homemade mayo, hot sauce pepper jelly combo to spread all on a toasted baguette. This sandwich was great bc it contained items that were already in my fridge washed it down with some sparkling gratefruit water.  ",11/11/2014,La Casa,free,Remicient of a Vietnamese Bahni Sandwich which I have been craving lately.
"Chicken and Waffle Sandwich. Chicken, one waffle, bacon, cheddar cheese, syrup, spicy mayo",12/21/2014,"Hough's Taproom, Pittsburgh, PA",$11,Really great. Worth $11. You can check out a picture of it here: instagram.com/endlessrevolt/
"Pita bread has been my new bread of choice its like putting your sandwich in a edible pocket. I filled mine with white fish salad, lettuce, avacado and sprouts yum yum",02/11/2015,"Harlem, NY ",free,So so good I loved white fish salad from Fairway its a gift from the Gods.
"Local sourdough, avocado, turkey, nasty creamy triple cream Brie, homemade green goddess dressing, cheddar & sour cream wavy lays (store brand)",10/04/2015,Home,,
"fried chick patty, raw shredded cabbage, 1000 island like sauce, honey mustard(?) on a bun",09/27/2015,"Mos Burger, Tokyo, Japan",~$5.00,Very good. Orion ordered a burger that had a giant tomato slice and a sloppy joe type sauce. Also very tasty.
"Shrimp made into a patty and then fried, lettuce, some kind of tasty sauce. Served with a side of chicken nuggets.",10/15/2015,"Mos Burger, Taipei, Taiwan",~$5.00,Mos Burger in Taiwan was very different then Japan. Way more seafood options.
"Doughly bread (similar to the outside of a pork bun), stewed pork, pickled vegetables, shredded cucumber, ground peanuts",10/21/2015,"Sun Moon Lake, Taiwan",~$2.00,Peanuts as a condiment!
"French toast sandwich - jelly on one slice, cream cheese on the other",10/28/2015,Home,,the quality of this sandwich directly correlates to bread quality
"Almond butter, jam, dave's killer bread",02/23/2016,School,not much,"My uncle left some fancy almond butter at my house, it really made this sandwich extra delicious"
"Number 6, (Spicy Chicken Sandwich)",08/20/2016,Wendy's (Pittsburgh location),$4.95,4.5 out 5. A solidly consistent sandwich arcoss the board. Would order again. Highly recommend baconator fries as a side.
"""Thriller"" sandwich, with modifications: Tofu Cutlet, veggie bacon, pepper jack cheese, lettuce, tomato, onions, pesto sauce, on a hero.",09/25/2016,Hana Food (Williamsburg),$10,"3 out of 5. A little bland - pesto could use more salt. Tofu cutlet could have a more seasoned breading. Veggie bacon was soft, not crispy. Nevertheless, I ate the whole thing, and wasn't hungry for hours."
"fried egg, spinach, garlicky pickled radish, grain mustard on sourdough.",10/01/2016,home,fridge,"pickly, mustardy egg satisfaction."
